Datetime,Water Level (m)
2024-02-26 00:00:00,0.0025780902
2024-02-26 01:00:00,0.0018778093
2024-02-26 02:00:00,0.001766755
2024-02-26 03:00:00,0.0022463077
2024-02-26 04:00:00,0.002636767
2024-02-26 05:00:00,0.0026493287
2024-02-26 06:00:00,0.0027564787
2024-02-26 07:00:00,0.003714308
2024-02-26 08:00:00,0.0039723814
2024-02-26 09:00:00,0.0037343483
2024-02-26 10:00:00,0.0034603628
2024-02-26 11:00:00,0.003090263
2024-02-26 12:00:00,0.0026099666
2024-02-26 13:00:00,0.001930589
2024-02-26 14:00:00,0.0012668042
2024-02-26 15:00:00,0.0013190489
2024-02-26 16:00:00,0.001610005
2024-02-26 17:00:00,0.0016241278
2024-02-26 18:00:00,0.001940442
2024-02-26 19:00:00,0.0029170804
2024-02-26 20:00:00,0.0032364079
2024-02-26 21:00:00,0.002776047
2024-02-26 22:00:00,0.002744558
2024-02-26 23:00:00,0.0020281351
2024-02-27 00:00:00,0.0015064117
2024-02-27 01:00:00,0.0018174022
2024-02-27 02:00:00,0.0016489668
2024-02-27 03:00:00,0.0015228455
2024-02-27 04:00:00,0.0019631863
2024-02-27 05:00:00,0.002628273
2024-02-27 06:00:00,0.0037005334
2024-02-27 07:00:00,0.004418545
2024-02-27 08:00:00,0.0041761682
2024-02-27 09:00:00,0.004587287
2024-02-27 10:00:00,0.004899606
2024-02-27 11:00:00,0.0046794447
2024-02-27 12:00:00,0.0036885454
2024-02-27 13:00:00,0.0021964747
2024-02-27 14:00:00,0.0015247636
2024-02-27 15:00:00,0.0015558129
2024-02-27 16:00:00,0.0012671734
2024-02-27 17:00:00,0.0008925126
2024-02-27 18:00:00,0.0009368639
2024-02-27 19:00:00,0.001118562
2024-02-27 20:00:00,0.0011733285
2024-02-27 21:00:00,0.0015311583
2024-02-27 22:00:00,0.0012230617
2024-02-27 23:00:00,0.00092300563
2024-02-28 00:00:00,0.00057536876
2024-02-28 01:00:00,0.00032201057
2024-02-28 02:00:00,0.00016660836
2024-02-28 03:00:00,0.00018511435
2024-02-28 04:00:00,0.0004553515
2024-02-28 05:00:00,0.0010872227
2024-02-28 06:00:00,0.002125971
2024-02-28 07:00:00,0.0027606057
2024-02-28 08:00:00,0.003011369
2024-02-28 09:00:00,0.003015796
2024-02-28 10:00:00,0.0026222374
2024-02-28 11:00:00,0.0019667547
2024-02-28 12:00:00,0.0014618292
2024-02-28 13:00:00,0.00012897387
2024-02-28 14:00:00,-0.0010963907
2024-02-28 15:00:00,-0.0008239945
2024-02-28 16:00:00,-0.0007537708
2024-02-28 17:00:00,-0.0013657452
2024-02-28 18:00:00,-0.0013026457
2024-02-28 19:00:00,-0.0011993689
2024-02-28 20:00:00,-0.0003739766
2024-02-28 21:00:00,0.0006463831
2024-02-28 22:00:00,0.0012043363
2024-02-28 23:00:00,0.0009962681
2024-02-29 00:00:00,0.000708025
2024-02-29 01:00:00,0.000342782
2024-02-29 02:00:00,0.0001677565
2024-02-29 03:00:00,0.00023388279
2024-02-29 04:00:00,0.0003270985
2024-02-29 05:00:00,0.0006635093
2024-02-29 06:00:00,0.0009952408
2024-02-29 07:00:00,0.001406436
2024-02-29 08:00:00,0.0019293706
2024-02-29 09:00:00,0.0026806432
2024-02-29 10:00:00,0.0035607675
2024-02-29 11:00:00,0.0031996593
2024-02-29 12:00:00,0.0021573596
2024-02-29 13:00:00,0.0018137746
2024-02-29 14:00:00,0.0014567343
2024-02-29 15:00:00,0.0009851169
2024-02-29 16:00:00,0.0008930564
2024-02-29 17:00:00,0.0005954587
2024-02-29 18:00:00,0.00037234408
2024-02-29 19:00:00,0.00072945957
2024-02-29 20:00:00,0.0013854221
2024-02-29 21:00:00,0.0018736249
2024-02-29 22:00:00,0.0018767242
2024-02-29 23:00:00,0.0018100609
2024-03-01 00:00:00,0.0017457595
2024-03-01 01:00:00,0.0014550546
2024-03-01 02:00:00,0.0009005789
2024-03-01 03:00:00,0.00053096365
2024-03-01 04:00:00,0.0008441052
2024-03-01 05:00:00,0.0014999936
2024-03-01 06:00:00,0.002129597
2024-03-01 07:00:00,0.002736506
2024-03-01 08:00:00,0.0030534917
2024-03-01 09:00:00,0.0033768306
2024-03-01 10:00:00,0.0038918173
2024-03-01 11:00:00,0.003732425
2024-03-01 12:00:00,0.0026692937
2024-03-01 13:00:00,0.001650141
